code,name,market,type
000001,平安银行,SZ,A 股
000002,万  科Ａ,SZ,A 股
000004,*ST国华,SZ,A 股
000006,深振业Ａ,SZ,A 股
000007,全新好,SZ,A 股
000008,神州高铁,SZ,A 股
000009,中国宝安,SZ,A 股
000010,美丽生态,SZ,A 股
000011,深物业A,SZ,A 股
000012,南  玻Ａ,SZ,A 股
000014,沙河股份,SZ,A 股
000016,深康佳Ａ,SZ,A 股
000017,深中华A,SZ,A 股
000019,深粮控股,SZ,A 股
000020,深华发Ａ,SZ,A 股
000021,深科技,SZ,A 股
000025,特  力Ａ,SZ,A 股
000026,飞亚达,SZ,A 股
000027,深圳能源,SZ,A 股
000028,国药一致,SZ,A 股
000029,深深房Ａ,SZ,A 股
000030,富奥股份,SZ,A 股
000031,大悦城,SZ,A 股
000032,深桑达Ａ,SZ,A 股
000034,神州数码,SZ,A 股
000035,中国天楹,SZ,A 股
000036,华联控股,SZ,A 股
000037,深南电A,SZ,A 股
000039,中集集团,SZ,A 股
000042,中洲控股,SZ,A 股
000045,深纺织Ａ,SZ,A 股
000048,京基智农,SZ,A 股
000049,德赛电池,SZ,A 股
000050,深天马Ａ,SZ,A 股
000055,方大集团,SZ,A 股
000056,皇庭国际,SZ,A 股
000058,深 赛 格,SZ,A 股
000059,华锦股份,SZ,A 股
000060,中金岭南,SZ,A 股
000061,农 产 品,SZ,A 股
000062,深圳华强,SZ,A 股
000063,中兴通讯,SZ,A 股
000065,北方国际,SZ,A 股
000066,中国长城,SZ,A 股
000068,华控赛格,SZ,A 股
000069,华侨城Ａ,SZ,A 股
000070,特发信息,SZ,A 股
000078,海王生物,SZ,A 股
000088,盐 田 港,SZ,A 股
000089,深圳机场,SZ,A 股
000090,天健集团,SZ,A 股
000096,广聚能源,SZ,A 股
000099,中信海直,SZ,A 股
000100,TCL科技,SZ,A 股
000151,中成股份,SZ,A 股
000153,丰原药业,SZ,A 股
000155,川能动力,SZ,A 股
000156,华数传媒,SZ,A 股
000157,中联重科,SZ,A 股
000158,常山北明,SZ,A 股
000159,国际实业,SZ,A 股
000166,申万宏源,SZ,A 股
000301,东方盛虹,SZ,A 股
000333,美的集团,SZ,A 股
000338,潍柴动力,SZ,A 股
000400,许继电气,SZ,A 股
000401,金隅冀东,SZ,A 股
000402,金 融 街,SZ,A 股
000403,派林生物,SZ,A 股
000404,长虹华意,SZ,A 股
000407,胜利股份,SZ,A 股
000408,藏格矿业,SZ,A 股
000409,云鼎科技,SZ,A 股
000410,沈阳机床,SZ,A 股
000411,英特集团,SZ,A 股
000415,渤海租赁,SZ,A 股
000417,合百集团,SZ,A 股
000419,通程控股,SZ,A 股
000420,吉林化纤,SZ,A 股
000421,南京公用,SZ,A 股
000422,湖北宜化,SZ,A 股
000423,东阿阿胶,SZ,A 股
000425,徐工机械,SZ,A 股
000426,兴业银锡,SZ,A 股
000428,华天酒店,SZ,A 股
000429,粤高速Ａ,SZ,A 股
000430,ST张家界,SZ,A 股
000488,ST晨鸣,SZ,A 股
000498,山东路桥,SZ,A 股
000501,武商集团,SZ,A 股
000503,国新健康,SZ,A 股
000504,*ST生物,SZ,A 股
000505,京粮控股,SZ,A 股
000506,招金黄金,SZ,A 股
000507,珠海港,SZ,A 股
000509,华塑控股,SZ,A 股
000510,新金路,SZ,A 股
000513,丽珠集团,SZ,A 股
000514,渝 开 发,SZ,A 股
000516,国际医学,SZ,A 股
000517,荣安地产,SZ,A 股
000518,*ST四环,SZ,A 股
000519,中兵红箭,SZ,A 股
000520,凤凰航运,SZ,A 股
000521,长虹美菱,SZ,A 股
000523,红棉股份,SZ,A 股
000524,岭南控股,SZ,A 股
000525,红太阳,SZ,A 股
000526,学大教育,SZ,A 股
000528,柳    工,SZ,A 股
000529,广弘控股,SZ,A 股
000530,冰山冷热,SZ,A 股
000531,穗恒运Ａ,SZ,A 股
000532,华金资本,SZ,A 股
000533,顺钠股份,SZ,A 股
000534,万泽股份,SZ,A 股
000536,华映科技,SZ,A 股
000537,绿发电力,SZ,A 股
000538,云南白药,SZ,A 股
000539,粤电力Ａ,SZ,A 股
000541,佛山照明,SZ,A 股
000543,皖能电力,SZ,A 股
000544,中原环保,SZ,A 股
000545,金浦钛业,SZ,A 股
000546,金圆股份,SZ,A 股
000547,航天发展,SZ,A 股
000548,湖南投资,SZ,A 股
000550,江铃汽车,SZ,A 股
000551,创元科技,SZ,A 股
000552,甘肃能化,SZ,A 股
000553,安道麦A,SZ,A 股
000554,泰山石油,SZ,A 股
000555,神州信息,SZ,A 股
000557,西部创业,SZ,A 股
000558,天府文旅,SZ,A 股
000559,万向钱潮,SZ,A 股
000560,我爱我家,SZ,A 股
000561,烽火电子,SZ,A 股
000563,陕国投Ａ,SZ,A 股
000564,供销大集,SZ,A 股
000565,渝三峡Ａ,SZ,A 股
000566,海南海药,SZ,A 股
000567,海德股份,SZ,A 股
000568,泸州老窖,SZ,A 股
000570,苏常柴Ａ,SZ,A 股
000571,新大洲A,SZ,A 股
000572,海马汽车,SZ,A 股
000573,粤宏远Ａ,SZ,A 股
000576,甘化科工,SZ,A 股
000581,威孚高科,SZ,A 股
000582,北部湾港,SZ,A 股
000586,汇源通信,SZ,A 股
000589,贵州轮胎,SZ,A 股
000590,古汉医药,SZ,A 股
000591,太阳能,SZ,A 股
000592,平潭发展,SZ,A 股
000593,德龙汇能,SZ,A 股
000595,*ST宝实,SZ,A 股
000596,古井贡酒,SZ,A 股
000597,东北制药,SZ,A 股
000598,兴蓉环境,SZ,A 股
000599,青岛双星,SZ,A 股
000600,建投能源,SZ,A 股
000601,韶能股份,SZ,A 股
000603,盛达资源,SZ,A 股
000605,渤海股份,SZ,A 股
000607,华媒控股,SZ,A 股
000608,*ST阳光,SZ,A 股
000609,ST中迪,SZ,A 股
000610,西安旅游,SZ,A 股
000612,焦作万方,SZ,A 股
000615,*ST美谷,SZ,A 股
000617,中油资本,SZ,A 股
000619,海螺新材,SZ,A 股
000620,盈新发展,SZ,A 股
000623,吉林敖东,SZ,A 股
000625,长安汽车,SZ,A 股
000626,远大控股,SZ,A 股
000628,高新发展,SZ,A 股
000629,钒钛股份,SZ,A 股
000630,铜陵有色,SZ,A 股
000631,顺发恒能,SZ,A 股
000632,三木集团,SZ,A 股
000633,合金投资,SZ,A 股
000635,英 力 特,SZ,A 股
000636,风华高科,SZ,A 股
000637,茂化实华,SZ,A 股
000638,*ST万方,SZ,A 股
000639,西王食品,SZ,A 股
000650,仁和药业,SZ,A 股
000651,格力电器,SZ,A 股
000652,泰达股份,SZ,A 股
000655,金岭矿业,SZ,A 股
000656,*ST金科,SZ,A 股
000657,中钨高新,SZ,A 股
000659,珠海中富,SZ,A 股
000661,长春高新,SZ,A 股
000663,永安林业,SZ,A 股
000665,湖北广电,SZ,A 股
000668,*ST荣控,SZ,A 股
000669,ST金鸿,SZ,A 股
000670,盈方微,SZ,A 股
000672,上峰水泥,SZ,A 股
000676,智度股份,SZ,A 股
000677,恒天海龙,SZ,A 股
000678,襄阳轴承,SZ,A 股
000679,大连友谊,SZ,A 股
000680,山推股份,SZ,A 股
000681,视觉中国,SZ,A 股
000682,东方电子,SZ,A 股
000683,博源化工,SZ,A 股
000685,中山公用,SZ,A 股
000686,东北证券,SZ,A 股
000688,国城矿业,SZ,A 股
000690,宝新能源,SZ,A 股
000691,*ST亚太,SZ,A 股
000692,惠天热电,SZ,A 股
000695,滨海能源,SZ,A 股
000697,ST炼石,SZ,A 股
000698,ST沈化,SZ,A 股
000700,模塑科技,SZ,A 股
000701,厦门信达,SZ,A 股
000702,正虹科技,SZ,A 股
000703,恒逸石化,SZ,A 股
000705,浙江震元,SZ,A 股
000707,双环科技,SZ,A 股
000708,中信特钢,SZ,A 股
000709,河钢股份,SZ,A 股
000710,贝瑞基因,SZ,A 股
000711,ST京蓝,SZ,A 股
000712,锦龙股份,SZ,A 股
000713,国投丰乐,SZ,A 股
000715,中兴商业,SZ,A 股
000716,黑芝麻,SZ,A 股
000717,中南股份,SZ,A 股
000718,苏宁环球,SZ,A 股
000719,中原传媒,SZ,A 股
000720,新能泰山,SZ,A 股
000721,西安饮食,SZ,A 股
000722,湖南发展,SZ,A 股
000723,美锦能源,SZ,A 股
000725,京东方Ａ,SZ,A 股
000726,鲁  泰Ａ,SZ,A 股
000727,冠捷科技,SZ,A 股
000728,国元证券,SZ,A 股
000729,燕京啤酒,SZ,A 股
000731,四川美丰,SZ,A 股
000733,振华科技,SZ,A 股
000735,罗 牛 山,SZ,A 股
000736,*ST中地,SZ,A 股
000737,北方铜业,SZ,A 股
000738,航发控制,SZ,A 股
000739,普洛药业,SZ,A 股
000750,国海证券,SZ,A 股
000751,锌业股份,SZ,A 股
000752,ST西发,SZ,A 股
000753,漳州发展,SZ,A 股
000755,山西高速,SZ,A 股
000756,新华制药,SZ,A 股
000757,浩物股份,SZ,A 股
000758,中色股份,SZ,A 股
000759,中百集团,SZ,A 股
000761,本钢板材,SZ,A 股
000762,西藏矿业,SZ,A 股
000766,通化金马,SZ,A 股
000767,晋控电力,SZ,A 股
000768,中航西飞,SZ,A 股
000776,广发证券,SZ,A 股
000777,中核科技,SZ,A 股
000778,新兴铸管,SZ,A 股
000779,甘咨询,SZ,A 股
000782,恒申新材,SZ,A 股
000783,长江证券,SZ,A 股
000785,居然智家,SZ,A 股
000786,北新建材,SZ,A 股
000788,北大医药,SZ,A 股
000789,万年青,SZ,A 股
000790,华神科技,SZ,A 股
000791,甘肃能源,SZ,A 股
000792,盐湖股份,SZ,A 股
000793,*ST华闻,SZ,A 股
000795,英洛华,SZ,A 股
000796,凯撒旅业,SZ,A 股
000797,中国武夷,SZ,A 股
000798,中水渔业,SZ,A 股
000799,酒鬼酒,SZ,A 股
000800,一汽解放,SZ,A 股
000801,四川九洲,SZ,A 股
000802,北京文化,SZ,A 股
000803,山高环能,SZ,A 股
000807,云铝股份,SZ,A 股
000809,和展能源,SZ,A 股
000810,创维数字,SZ,A 股
000811,冰轮环境,SZ,A 股
000812,陕西金叶,SZ,A 股
000813,德展健康,SZ,A 股
000815,美利云,SZ,A 股
000816,智慧农业,SZ,A 股
000818,航锦科技,SZ,A 股
000819,岳阳兴长,SZ,A 股
000820,*ST节能,SZ,A 股
000821,ST京机,SZ,A 股
000822,山东海化,SZ,A 股
000823,超声电子,SZ,A 股
000825,太钢不锈,SZ,A 股
000826,启迪环境,SZ,A 股
000828,东莞控股,SZ,A 股
000829,天音控股,SZ,A 股
000830,鲁西化工,SZ,A 股
000831,中国稀土,SZ,A 股
000833,粤桂股份,SZ,A 股
000837,秦川机床,SZ,A 股
000838,财信发展,SZ,A 股
000839,国安股份,SZ,A 股
000848,承德露露,SZ,A 股
000850,华茂股份,SZ,A 股
000852,石化机械,SZ,A 股
000856,冀东装备,SZ,A 股
000858,五 粮 液,SZ,A 股
000859,国风新材,SZ,A 股
000860,顺鑫农业,SZ,A 股
000862,银星能源,SZ,A 股
000863,三湘印象,SZ,A 股
000868,安凯客车,SZ,A 股
000869,张  裕Ａ,SZ,A 股
000875,电投绿能,SZ,A 股
000876,新 希 望,SZ,A 股
000877,天山股份,SZ,A 股
000878,云南铜业,SZ,A 股
000880,潍柴重机,SZ,A 股
000881,中广核技,SZ,A 股
000882,华联股份,SZ,A 股
000883,湖北能源,SZ,A 股
000885,城发环境,SZ,A 股
000886,海南高速,SZ,A 股
000887,中鼎股份,SZ,A 股
000888,峨眉山Ａ,SZ,A 股
000889,中嘉博创,SZ,A 股
000890,法尔胜,SZ,A 股
000892,欢瑞世纪,SZ,A 股
